gene_symbol	chr
ACADM	1
ACADS	12
ACADSB	10
ACADVL	17
ACAN	15
ACAP1	17
ACAP2	3
ACAP3	1
ACAT1	11
ACAT2	6
ACBD3	1
ACBD3-AS1	1
ACBD4	17
ACBD5	10
ACBD6	1
ACBD7	10
ACCS	11
ACCSL	11
ACD	16
ACE	17
ACE2	X
ACER1	19
ACER2	9
ACER3	11
ACHE	7
ACIN1	14
ACKR1	1
ACKR2	3
ACKR3	2
ACKR4	3
ACLY	17
ACMSD	2
ACO1	9
ACO2	22
ACOD1	13
ACOT1	14
ACOT11	1
ACOT12	5
ACOT13	6
ACOT2	14
ACOT4	14
ACOT6	14
ACOT7	1
ACOT8	20
ACOT9	X
ACOX1	17
ACOX2	3
ACOX3	4
ACOXL	2
ACOXL-AS1	2
ACP1	2
ACP2	11
ACP5	19
ACP6	1
ACP7	19
ACR	22
ACRBP	12
ACRV1	11
ACSBG1	15
ACSBG2	19
ACSF2	17
ACSF3	16
ACSL1	4
ACSL3	2
ACSL4	X
ACSL5	10
ACSL6	5
ACSM1	16
ACSM2A	16
ACSM2B	16
ACSM3	16
ACSM4	12
ACSM5	16
ACSM6	10
ACSS1	20
ACSS2	20
ACSS3	12
ACTA1	1
ACTA2	10
ACTA2-AS1	10
ACTB	7
ACTBL2	5
ACTC1	15
ACTG1	17
ACTG1P17	15
ACTG1P20	1
ACTG1P4	1
ACTG2	2
ACTL10	20
ACTL6A	3
ACTL6B	7
ACTL7A	9
ACTL7B	9
ACTL8	1
ACTL9	19
ACTN1	14
ACTN2	1
ACTN3	11
ACTN4	19
ACTR10	14
ACTR1A	10
ACTR1B	2
ACTR2	2
ACTR3	2
ACTR3B	7
ACTR3BP2	22
ACTR3BP5	HG545_PATCH
ACTR3C	7
ACTR5	20
ACTR6	12
ACTR8	3
ACTRT1	X
ACTRT2	1
ACTRT3	3
ACVR1	2
ACVR1B	12
ACVR1C	2
ACVR2A	2
ACVR2B	3
ACVR2B-AS1	3
ACVRL1	12
ACY1	3
ACY3	11
ACYP1	14
ACYP2	2
ADA	20
ADA2	22
ADAD1	4
ADAD2	16
ADAM10	15
ADAM11	17
ADAM12	10
ADAM15	1
ADAM17	2
ADAM18	HSCHR8_9_CTG1
ADAM19	5
ADAM1A	12
ADAM2	HSCHR8_9_CTG1
ADAM20	14
ADAM20P1	14
ADAM21	14
ADAM21P1	14
ADAM22	7
ADAM23	2
ADAM28	8
ADAM29	4
ADAM30	1
ADAM32	8
ADAM33	20
ADAM3A	8
ADAM3B	16
ADAM5	8
ADAM6	HSCHR14_3_CTG1
ADAM7	8
ADAM8	10
ADAM9	8
ADAMDEC1	8
ADAMTS1	21
ADAMTS10	19
ADAMTS12	HSCHR5_6_CTG1
ADAMTS13	9
ADAMTS14	10
ADAMTS15	11
ADAMTS16	5
ADAMTS17	15
ADAMTS18	16
ADAMTS19	5
ADAMTS19-AS1	5
ADAMTS2	5
ADAMTS20	12
ADAMTS3	4
ADAMTS4	1
ADAMTS5	21
ADAMTS6	5
ADAMTS7	15
ADAMTS7P1	15
ADAMTS8	11
ADAMTS9	3
ADAMTS9-AS1	3
ADAMTS9-AS2	3
ADAMTSL1	9
ADAMTSL2	9
ADAMTSL3	15
ADAMTSL4	1
ADAMTSL4-AS1	1
ADAMTSL5	19
ADAP1	7
ADAP2	17
ADAR	1
ADARB1	21
ADARB2	10
ADARB2-AS1	10
ADAT1	16
ADAT2	6
ADAT3	19
ADCK1	14
ADCK2	7
ADCK5	8
ADCY1	7
ADCY10	1
ADCY10P1	6
ADCY2	5
ADCY3	2
ADCY4	14
ADCY5	3
ADCY6	12
ADCY7	16
ADCY8	8
ADCY9	16
ADCYAP1	18
ADCYAP1R1	7
ADD1	4
ADD2	2
ADD3	10
ADD3-AS1	10
ADGB	6
ADGRA1	10
ADGRA1-AS1	10
ADGRA2	8
ADGRA3	4
ADGRB1	8
ADGRB2	1
ADGRB3	6
ADGRD1	12
ADGRD1-AS1	12
ADGRE1	19
ADGRE2	19
ADGRE3	19
ADGRE4P	19
ADGRE5	19
ADGRF1	6
ADGRF3	2
ADGRF4	6
ADGRF5	6
ADGRG1	16
ADGRG2	X
ADGRG3	16
ADGRG4	X
ADGRG5	16
ADGRG6	6
ADGRG7	3
ADGRL1	19
ADGRL2	1
ADGRL3	4
ADGRL3-AS1	4
ADGRL4	1
ADGRV1	5
ADH1A	4
ADH1B	4
ADH1C	4
ADH4	4
ADH5	4
ADH6	4
ADH7	4
ADHFE1	8
ADI1	2
ADIG	20
ADIPOQ	3
ADIPOQ-AS1	3
ADIPOR1	1
ADIPOR2	12
ADIRF	10
ADK	10
ADM	11
ADM2	22
ADM5	19
ADNP	20
ADNP-AS1	20
ADNP2	18
ADO	10
ADORA1	1
ADORA2A	22
ADORA2A-AS1	22
ADORA2B	17
ADORA3	1
ADPGK	15
ADPGK-AS1	15
ADPRH	3
ADPRHL1	13
ADPRM	17
ADRA1A	8
ADRA1B	5
ADRA1D	20
ADRA2A	10
ADRA2B	2
ADRA2C	4
ADRB1	10
ADRB2	5
ADRB3	8
ADRM1	20
ADSL	22
ADTRP	6
AEBP1	7
AEBP2	12
AEN	15
AFAP1	4
AFAP1-AS1	4
AFAP1L1	5
AFAP1L2	10
AFDN	6
AFF1	4
AFF2	X
AFF3	2
AFF4	5
AFG1L	6
AFG3L1P	16
AFG3L2	18
AFM	4
AFMID	17
AFP	4
AFTPH	2
AGA	4
AGAP1	2
AGAP1-IT1	2
AGAP11	10
AGAP12P	HG1277_PATCH
AGAP2	12
AGAP2-AS1	12
AGAP3	7
AGAP4	10
AGAP5	10
AGAP6	10
AGAP7P	10
AGAP9	10
AGBL1	15
AGBL1-AS1	15
AGBL2	11
AGBL3	7
AGBL4	1
AGBL4-IT1	1
AGBL5	2
AGBL5-AS1	2
AGER	6
AGFG1	2
AGFG2	7
AGGF1	5
AGK	7
AGL	1
AGMAT	1
AGMO	7
AGO1	1
AGO2	8
AGO3	1
AGO4	1
AGPAT1	6
AGPAT2	9
AGPAT3	21
AGPAT4	6
AGPAT5	8
AGPS	2
AGR2	7
AGR3	7
AGRN	1
AGRP	16
AGT	1
AGTPBP1	9
AGTR1	3
AGTR2	X
AGTRAP	1
AGXT	2
AGXT2	5
AHCTF1	1
AHCTF1P1	2
AHCY	20
AHCYL1	1
AHCYL2	7
AHDC1	1
AHI1	6
AHNAK	11
AHNAK2	14
AHR	7
AHRR	5
AHSA1	14
AHSG	3
AHSP	16
AICDA	12
AIDA	1
AIF1	6
AIF1L	9
AIFM1	X
AIFM2	10
AIFM3	22
AIG1	6
AIM2	1
AIMP1	4
AIMP2	7
AIP	11
AIPL1	17
AIRE	21
AIRN	6
AJAP1	1
AJUBA	14
AK1	9
AK2	1
AK3	9
AK4	1
AK5	1
AK6	HSCHR5_2_CTG1_1
AK7	14
AK8	9
AK9	6
AKAIN1	18
AKAP1	17
AKAP10	17
AKAP11	13
AKAP12	6
AKAP13	15
AKAP14	X
AKAP17A	X
AKAP3	12
AKAP4	X
AKAP5	14
AKAP6	14
AKAP7	6
AKAP8	19
AKAP8L	19
AKAP9	7
AKIP1	11
AKIRIN1	1
AKIRIN2	6
AKNA	9
AKNAD1	1
AKR1A1	1
AKR1B1	7
AKR1B10	7
AKR1B15	7
AKR1C1	10
AKR1C2	10
AKR1C3	10
AKR1C4	10
AKR1C6P	10
AKR1D1	7
AKR1E2	10
AKR7A2	1
AKR7A2P1	1
AKR7A3	1
AKR7L	1
AKT1	14
AKT1S1	19
AKT2	19
AKT3	1
AKTIP	16
ALAD	9
ALAS1	3
ALAS2	X
ALB	4
ALCAM	3
ALDH16A1	19
ALDH18A1	10
ALDH1A1	9
ALDH1A2	15
ALDH1A3	15
ALDH1B1	9
ALDH1L1	3
ALDH1L1-AS1	3
ALDH1L1-AS2	3
ALDH1L2	12
ALDH2	12
ALDH3A1	17
ALDH3A2	17
ALDH3B1	11
ALDH3B2	11
ALDH4A1	1
ALDH5A1	6
ALDH6A1	14
ALDH7A1	5
ALDH8A1	6
ALDH9A1	1
ALDOA	16
ALDOB	9
ALDOC	17
ALG1	16
ALG10	12
ALG10B	12
ALG11	13
ALG12	22
ALG13	X
ALG14	1
ALG1L2	3
ALG1L9P	11
ALG2	9
ALG3	3
ALG5	13
ALG6	1
ALG8	11
ALG9	11
ALK	2
ALKAL1	8
ALKAL2	2
ALKBH1	14
ALKBH2	12
ALKBH3	11
ALKBH3-AS1	11
ALKBH4	7
ALKBH5	17
ALKBH6	19
ALKBH7	19
ALKBH8	11
ALLC	2
ALMS1	2
ALMS1-IT1	2
ALMS1P1	2
ALOX12	17
ALOX12-AS1	17
ALOX12B	17
ALOX12P2	17
ALOX15	17
ALOX15B	17
ALOX15P1	17
ALOX5	10
ALOX5AP	13
ALOXE3	17
ALPI	2
ALPK1	4
ALPK2	18
ALPK3	15
ALPL	1
ALPP	2
ALS2	2
ALS2CL	3
ALX1	12
ALX3	1
ALX4	11
ALYREF	17
AMACR	5
AMBN	4
AMBP	9
AMBRA1	11
AMD1	6
AMDHD1	12
AMDHD2	16
AMELX	X
AMELY	Y
AMER1	X
AMER2	13
AMER3	2
AMFR	16
AMH	19
AMHR2	12
AMIGO1	1
AMIGO2	12
AMIGO3	3
AMMECR1	X
AMMECR1L	2
AMN	14
AMN1	12
AMOT	X
AMOTL1	11
AMOTL2	3
AMPD1	1
AMPD2	1
AMPD3	11
AMPH	7
AMT	3
AMTN	4
AMY1A	1
AMY1B	1
AMY1C	1
AMY2A	1
AMY2B	1
AMZ1	7
AMZ2	17
AMZ2P1	17
ANAPC1	2
ANAPC10	4
ANAPC11	17
ANAPC13	3
ANAPC15	11
ANAPC16	10
ANAPC1P1	2
ANAPC2	9
ANAPC4	4
ANAPC5	12
ANAPC7	12
ANG	14
ANGEL1	14
ANGEL2	1
ANGPT1	8
ANGPT2	8
ANGPT4	20
ANGPTL1	1
ANGPTL2	9
ANGPTL3	1
ANGPTL4	19
ANGPTL5	11
ANGPTL6	19
ANGPTL7	1
ANGPTL8	19
ANHX	12
ANK1	8
ANK2	4
ANK3	10
ANKAR	2
ANKDD1A	15
ANKDD1B	5
ANKEF1	20
ANKFN1	17
ANKFY1	17
ANKH	5
ANKHD1	5
ANKHD1-EIF4EBP3	5
ANKIB1	7
ANKK1	11
ANKLE1	19
ANKLE2	12
ANKMY1	2
ANKMY2	7
ANKRA2	5
ANKRD1	10
ANKRD10	13
ANKRD11	16
ANKRD12	18
ANKRD13A	12
ANKRD13B	17
ANKRD13C	1
ANKRD13D	11
ANKRD16	10
ANKRD17	4
ANKRD18A	9
ANKRD18B	9
ANKRD18CP	9
ANKRD18DP	3
ANKRD19P	9
ANKRD2	10
ANKRD20A1	9
ANKRD20A11P	21
ANKRD20A19P	13
ANKRD20A5P	18
ANKRD20A8P	2
ANKRD20A9P	13
ANKRD22	10
ANKRD23	2
ANKRD24	19
ANKRD26	10
ANKRD26P1	16
ANKRD26P3	13
ANKRD27	19
ANKRD28	3
ANKRD29	18
ANKRD30A	10
ANKRD30B	18
ANKRD30BL	2
ANKRD30BP2	21
ANKRD30BP3	10
ANKRD31	5
ANKRD33	12
ANKRD33B	5
ANKRD34A	1
ANKRD34B	5
ANKRD34C	15
ANKRD34C-AS1	15
ANKRD35	1
ANKRD36	2
ANKRD36B	2
ANKRD36BP1	1
ANKRD36BP2	2
ANKRD36C	2
ANKRD37	4
ANKRD39	2
ANKRD40	17
ANKRD42	11
ANKRD44	2
ANKRD44-IT1	2
ANKRD45	1
ANKRD46	8
ANKRD49	11
ANKRD50	4
ANKRD52	12
ANKRD53	2
ANKRD54	22
ANKRD55	5
ANKRD6	6
ANKRD60	20
ANKRD61	7
ANKRD62	18
ANKRD62P1-PARP4P3	22
ANKRD63	15
ANKRD65	1
ANKRD66	6
ANKRD7	7
ANKRD9	14
ANKS1A	6
ANKS1B	12
ANKS3	16
ANKS4B	16
ANKS6	9
ANKUB1	3
ANKZF1	2
ANLN	7
ANO1	11
ANO10	3
ANO2	12
ANO3	11
ANO4	12
ANO5	11
ANO6	12
ANO7	2
ANO8	19
ANO9	11
ANOS1	X
ANP32A	15
ANP32AP1	15
ANP32B	9
ANP32D	12
ANP32E	1
ANPEP	15
ANTXR1	2
ANTXR2	4
ANTXRL	10
ANTXRLP1	10
ANXA1	9
ANXA10	4
ANXA11	10
ANXA13	8
ANXA2	15
ANXA2P1	4
ANXA2P2	9
ANXA2P3	10
ANXA2R	5
ANXA3	4
ANXA4	2
ANXA5	4
ANXA6	5
ANXA7	10
ANXA8	10
ANXA8L1	10
ANXA9	1
AOAH	7
AOAH-IT1	7
AOC1	7
AOC2	17
AOC3	17
AOC4P	17
AOX1	2
AOX3P-AOX2P	2
AP1AR	4
AP1B1	22
AP1B1P1	22
AP1G1	16
AP1G2	14
AP1M1	19
AP1M2	19
AP1S1	7
AP1S2	X
AP1S3	2
AP2A1	19
AP2A2	11
AP2B1	17
AP2M1	3
AP2S1	19
AP3B1	5
AP3B2	15
AP3D1	19
AP3M1	10
AP3M2	8
AP3S1	5
AP3S2	15
AP4B1	1
AP4B1-AS1	1
AP4E1	15
AP4M1	7
AP4S1	14
AP5B1	11
AP5M1	14
AP5S1	20
AP5Z1	7
APAF1	12
APBA1	HSCHR9_1_CTG2
APBA2	15
APBA3	19
APBB1	11
APBB1IP	10
APBB2	4
APBB3	5
APC	5
APC2	19
APCDD1	18
APCDD1L	20
APCS	1
APEH	3
APELA	4
APEX1	14
APEX2	X
APH1A	1
APH1B	15
API5	11
APIP	11
APLF	2
APLN	X
APLNR	11
APLP1	19
APLP2	11
APMAP	20
APOA1	11
APOA1-AS	11
APOA2	1
APOA4	11
APOA5	11
APOB	2
APOBEC1	12
APOBEC2	6
APOBEC3A	HSCHR22_1_CTG2
APOBEC3B	22
APOBEC3B-AS1	HSCHR22_1_CTG2
APOBEC3C	22
APOBEC3D	22
APOBEC3F	22
APOBEC3G	22
APOBEC3H	22
APOBEC4	1
APOBR	16
APOC1	19
APOC1P1	19
APOC2	19
APOC3	11
APOC4	19
APOC4-APOC2	19
APOD	3
APOE	19
APOF	12
APOH	17
APOL1	22
APOL2	22
APOL3	22
APOL4	22
APOL5	HSCHR22_1_CTG4
APOL6	22
APOLD1	12
APOM	HSCHR6_MHC_MANN_CTG1
APOO	X
APOOL	X
APOOP5	16
APP	21
APPBP2	17
APPL1	3
APPL2	12
APRT	16
APTR	7
APTX	9
AQP1	7
AQP10	1
AQP11	11
AQP12A	2
AQP12B	2
AQP2	12
AQP3	9
AQP4	18
AQP4-AS1	18
AQP5	12
AQP6	12
AQP7	9
AQP7P1	9
AQP8	16
AQP9	15
AQR	15
AR	X
ARAF	X
ARAP1	11
ARAP1-AS2	11
ARAP2	4
ARAP3	5
ARC	8
ARCN1	11
AREG	4
AREL1	14
ARF1	1
ARF3	12
ARF4	3
ARF5	7
ARF6	14
ARFGAP1	20
ARFGAP2	11
ARFGAP3	22
ARFGEF1	8
ARFGEF2	20
ARFGEF3	6
ARFIP1	4
ARFIP2	11
ARFRP1	20
ARG1	6
ARG2	14
ARGFX	3
ARGFXP2	17
ARGLU1	13
ARHGAP1	11
ARHGAP10	4
ARHGAP11A	15
ARHGAP11B	15
ARHGAP12	10
ARHGAP15	2
ARHGAP17	16
ARHGAP18	6
ARHGAP19	10
ARHGAP19-SLIT1	10
ARHGAP20	11
ARHGAP21	10
ARHGAP22	10
ARHGAP22-IT1	10
ARHGAP23	17
ARHGAP24	4
ARHGAP25	2
ARHGAP26	5
ARHGAP26-AS1	5
ARHGAP26-IT1	5
ARHGAP27	17
ARHGAP27P1-BPTFP1-KPNA2P3	17
ARHGAP28	18
ARHGAP29	1
ARHGAP30	1
ARHGAP31	3
ARHGAP31-AS1	3
ARHGAP32	11
ARHGAP33	19
ARHGAP35	19
ARHGAP36	X
ARHGAP39	8
ARHGAP4	X
ARHGAP40	20
ARHGAP42	11
ARHGAP44	17
ARHGAP45	19
ARHGAP5	14
ARHGAP5-AS1	14
ARHGAP6	X
ARHGAP8	22
ARHGAP9	12
ARHGDIA	17
ARHGDIB	12
ARHGDIG	16
ARHGEF1	19
ARHGEF10	8
ARHGEF10L	1
ARHGEF11	1
ARHGEF12	11
ARHGEF15	17
ARHGEF16	1
ARHGEF17	11
ARHGEF18	19
ARHGEF19	1
ARHGEF2	1
ARHGEF25	12
ARHGEF26	3
ARHGEF26-AS1	3
ARHGEF28	5
ARHGEF3	3
ARHGEF3-AS1	3
ARHGEF33	2
ARHGEF34P	7
ARHGEF35	7
ARHGEF37	5
ARHGEF38	4
ARHGEF38-IT1	4
ARHGEF39	9
ARHGEF4	2
ARHGEF40	14
ARHGEF5	7
ARHGEF6	X
ARHGEF7	13
ARHGEF7-AS1	13
ARHGEF7-AS2	13
ARHGEF9	X
ARHGEF9-IT1	X
ARID1A	1
ARID1B	6
ARID2	12
ARID3A	19
ARID3B	15
ARID3C	9
ARID4A	14
ARID4B	1
ARID5A	2
ARID5B	10
ARIH1	15
ARIH2	3
ARIH2OS	3
ARL1	12
ARL10	5
ARL11	13
ARL13A	X
ARL13B	3
ARL14	3
ARL14EP	11
ARL14EPL	5
ARL15	5
ARL16	17
ARL17A	17
ARL17B	17
ARL2	11
ARL2-SNX15	11
ARL2BP	16
ARL3	10
ARL4A	7
ARL4C	2
ARL4D	17
ARL5A	2
ARL5B	10
ARL5C	17
ARL6	3
ARL6IP1	16
ARL6IP4	12
ARL6IP5	3
ARL6IP6	2
ARL8A	1
ARL8B	3
ARL9	4
ARMC1	8
ARMC10	7
ARMC12	6
ARMC2	6
ARMC2-AS1	6
ARMC3	10
ARMC5	16
ARMC6	19
ARMC7	17
ARMC8	3
ARMC9	2
ARMCX1	X
ARMCX2	X
ARMCX3	X
ARMCX4	X
ARMCX5	X
ARMCX5-GPRASP2	X
ARMCX6	X
ARMS2	10
ARNT	1
ARNT2	15
ARPC1A	7
ARPC1B	7
ARPC2	2
ARPC3	12
ARPC4	3
ARPC4-TTLL3	3
ARPC5	1
ARPC5L	9
ARPIN	15
ARPP19	15
ARPP21	3
ARR3	X
ARRB1	11
ARRB2	17
ARRDC1	9
ARRDC1-AS1	9
ARRDC2	19
ARRDC3	5
ARRDC3-AS1	5
ARRDC4	15
ARRDC5	19
ARSA	22
ARSB	5
ARSD	X
ARSD-AS1	X
ARSF	X
ARSG	17
ARSH	X
ARSI	5
ARSJ	4
ARSK	5
ART1	11
ART3	4
ART4	12
ART5	11
ARTN	1
ARV1	1
ARVCF	22
ARX	X
AS3MT	10
ASAH1	8
ASAH2	10
ASAH2B	10
ASAP1	8
ASAP1-IT2	8
ASAP2	2
ASAP3	1
ASB1	2
ASB10	7
ASB11	X
ASB12	X
ASB13	10
ASB14	3
ASB15	7
ASB16	17
ASB16-AS1	17
ASB17	1
ASB18	2
ASB2	14
ASB3	2
ASB4	7
ASB5	4
ASB6	9
ASB7	15
ASB8	12
ASB9	X
ASB9P1	15
ASCC1	10
ASCC2	22
ASCC3	6
ASCL1	12
ASCL2	11
ASCL3	11
ASCL4	12
ASCL5	1
ASF1A	6
ASF1B	19
ASGR1	17
ASGR2	17
ASH1L	1
ASH1L-AS1	1
ASH2L	8
ASIC1	12
ASIC2	17
ASIC3	7
ASIC4	2
ASIC5	HSCHR4_1_CTG12
ASIP	20
ASL	7
ASMT	X
ASMTL	X
ASMTL-AS1	Y
ASNS	7
ASNSD1	2
ASNSP1	8
ASPA	17
ASPDH	19
ASPG	14
ASPH	8
ASPHD1	16
ASPHD2	22
ASPM	1
ASPN	9
ASPRV1	2
ASPSCR1	17
ASRGL1	11
ASS1	9
ASTE1	3
ASTL	2
ASTN1	1
ASTN2	9
ASTN2-AS1	9
ASXL1	20
ASXL2	2
ASXL3	18
ASZ1	7
ATAD1	10
ATAD2	8
ATAD2B	2
ATAD3A	1
ATAD3B	1
ATAD3C	1
ATAD5	17
ATAT1	6
ATCAY	19
ATE1	10
ATF1	12
ATF2	2
ATF3	1
ATF4	22
ATF5	19
ATF6	1
ATF6B	6
ATF7	12
ATF7IP	12
ATF7IP2	16
ATG10	5
ATG101	12
ATG12	5
ATG13	11
ATG14	14
ATG16L1	2
ATG16L2	11
ATG2A	11
ATG2B	14
ATG3	3
ATG4A	X
ATG4B	2
ATG4C	1
ATG4D	19
ATG5	6
ATG7	3
ATG9A	2
ATG9B	7
ATIC	2
ATL1	14
ATL2	2
ATL3	11
ATM	11
ATMIN	16
ATN1	12
ATOH1	4
ATOH7	10
ATOH8	2
ATOX1	5
ATP10A	15
ATP10B	5
ATP10D	4
ATP11A	13
ATP11A-AS1	13
ATP11AUN	13
ATP11B	3
ATP11C	X
ATP12A	13
ATP13A1	19
ATP13A2	1
ATP13A3	3
ATP13A4	3
ATP13A4-AS1	3
ATP13A5	3
ATP13A5-AS1	3
ATP1A1	1
ATP1A1-AS1	1
ATP1A2	1
ATP1A3	19
ATP1A4	1
ATP1B1	1
ATP1B2	17
ATP1B3	3
ATP1B4	X
ATP23	12
ATP2A1	16
ATP2A1-AS1	16
ATP2A2	12
ATP2A3	17
ATP2B1	12
ATP2B1-AS1	12
ATP2B2	3
ATP2B2-IT2	3
ATP2B3	X
ATP2B4	1
ATP2C1	3
ATP2C2	16
ATP2C2-AS1	16
ATP4A	19
ATP4B	13
ATP6AP1	X
ATP6AP1L	5
ATP6AP2	X
ATP6V0A1	17
ATP6V0A2	12
ATP6V0A4	7
ATP6V0B	1
ATP6V0C	16
ATP6V0CP3	6
ATP6V0D1	16
ATP6V0D2	8
ATP6V0E1	5
ATP6V0E2	7
ATP6V0E2-AS1	7
ATP6V1A	3
ATP6V1B1	2
ATP6V1B1-AS1	2
ATP6V1B2	8
ATP6V1C1	8
ATP6V1C2	2
ATP6V1D	14
ATP6V1E1	22
ATP6V1E2	2
ATP6V1F	7
ATP6V1G1	9
ATP6V1G2	HSCHR6_MHC_QBL_CTG1
ATP6V1G2-DDX39B	6
ATP6V1G3	1
ATP6V1H	8
ATP7A	X
ATP7B	13
ATP8A1	4
ATP8A2	13
ATP8B1	18
ATP8B2	1
ATP8B3	19
ATP8B4	15
ATP8B5P	9
ATP9A	20
ATP9B	18
ATPAF1	1
ATPAF2	17
ATR	3
ATRAID	2
ATRIP	3
ATRN	20
ATRNL1	10
ATRX	X
ATXN1	6
ATXN10	22
ATXN1L	16
ATXN2	12
ATXN2-AS	12
ATXN2L	16
ATXN3	14
ATXN3L	X
ATXN7	3
ATXN7L1	7
ATXN7L2	1
ATXN7L3	17
ATXN7L3B	12
ATXN8OS	13
AUH	9
AUNIP	1
AUP1	2
AURKA	20
AURKAIP1	1
AURKB	17
AURKC	19
AUTS2	7
AVEN	15
AVIL	12
AVL9	7
AVP	20
AVPI1	10
AVPR1A	12
AVPR1B	1
AVPR2	X
AWAT1	X
AWAT2	X
AXDND1	1
AXIN1	16
AXIN2	17
AXL	19
AZGP1	7
AZGP1P1	7
AZI2	3
AZIN1	8
AZIN2	1
AZU1	19
B2M	15
B3GALNT1	3
B3GALNT2	1
B3GALT1	2
B3GALT2	1
B3GALT4	HSCHR6_MHC_MCF_CTG1
B3GALT5	21
B3GALT5-AS1	21
B3GALT6	1
B3GAT1	11
B3GAT2	6
B3GAT3	11
B3GLCT	13
B3GNT2	2
B3GNT3	19
B3GNT4	12
B3GNT5	3
B3GNT6	11
B3GNT7	2
B3GNT8	19
B3GNT9	16
B4GALNT1	12
B4GALNT2	17
B4GALNT3	12
B4GALNT4	11
B4GALT1	9
B4GALT1-AS1	9
B4GALT2	1
B4GALT3	1
B4GALT4	3
B4GALT4-AS1	3
B4GALT5	20
B4GALT6	18
B4GALT7	5
B4GAT1	11
B9D1	17
B9D2	19
BAALC	8
BAALC-AS2	8
BAAT	9
BABAM1	19
BABAM2	2
BACE1	11
BACE1-AS	11
BACE2	21
BACH1	21
BACH1-IT2	21
BACH1-IT3	21
BACH2	6
BAD	11
BAG1	9
BAG2	6
BAG3	10
BAG4	8
BAG5	14
BAG6	6
BAGE2	21
BAHCC1	17
BAHD1	15
BAIAP2	17
BAIAP2L1	7
BAIAP2L2	22
BAIAP3	16
BAK1	6
BAMBI	10
BANCR	9
BANF1	11
BANF2	20
BANK1	4
BANP	16
BAP1	3
BARD1	2
BARHL1	9
BARHL2	1
BARX1	9
BARX2	11
BASP1	5
BASP1P1	13
BATF	14
BATF2	11
BATF3	1
BAX	19
BAZ1A	14
BAZ1B	7
BAZ2A	12
BAZ2B	2
BBC3	19
BBIP1	10
BBOF1	14
BBOX1	11
BBOX1-AS1	11
BBS1	11
BBS10	12
BBS12	4
BBS2	16
BBS4	15
BBS5	2
BBS7	4
BBS9	7
BBX	3
BCAM	19
BCAN	1
BCAP29	7
BCAP31	X
BCAR1	16
BCAR3	1
BCAR4	16
BCAS1	20
BCAS2	1
BCAS3	17
BCAS4	20
BCAT1	12
BCAT2	19
BCCIP	10
BCDIN3D	12
BCDIN3D-AS1	12
BCHE	3
BCKDHA	19
BCKDHB	6
BCKDK	16
BCL10	1
BCL11A	2
BCL11B	14
BCL2	18
BCL2A1	15
BCL2L1	20
BCL2L10	15
BCL2L11	2
BCL2L12	19
BCL2L13	22
BCL2L14	12
BCL2L15	1
BCL2L2	14
BCL2L2-PABPN1	14
BCL3	19
BCL6	3
BCL6B	17
BCL7A	12
BCL7B	7
BCL7C	16
BCL9	1
BCL9L	11
BCLAF1	6
BCLAF3	X
BCO1	16
BCO2	11
BCOR	X
BCORL1	X
BCORP1	Y
BCR	22
